evento_id,timestamp,sede,medico_id,tiempo_segundos,completada
147,2025-11-03T15:12:00,Quito,MED-QUI-04,8.56,1
148,2025-11-03T18:30:00,Quito,MED-QUI-08,7.73,1
149,2025-11-03T14:50:00,Quito,MED-QUI-04,7.74,1
150,2025-11-03T11:42:00,Quito,MED-QUI-07,8.66,1
151,2025-11-03T18:35:00,Quito,MED-QUI-12,5.67,1
152,2025-11-03T14:17:00,Quito,MED-QUI-06,6.12,1
153,2025-11-03T08:47:00,Quito,MED-QUI-12,7.52,1
154,2025-11-03T09:12:00,Quito,MED-QUI-09,6.86,1
155,2025-11-03T16:18:00,Quito,MED-QUI-04,8.19,0
156,2025-11-03T11:14:00,Quito,MED-QUI-03,10.98,1
157,2025-11-03T11:02:00,Quito,MED-QUI-03,11.97,1
158,2025-11-03T17:55:00,Quito,MED-QUI-05,6.51,1
159,2025-11-03T14:30:00,Quito,MED-QUI-03,5.8,1
160,2025-11-03T07:16:00,Quito,MED-QUI-07,8.09,1
161,2025-11-03T14:04:00,Quito,MED-QUI-11,5.88,1
162,2025-11-03T07:09:00,Quito,MED-QUI-04,7.64,1
163,2025-11-03T08:35:00,Quito,MED-QUI-10,8.06,1
164,2025-11-03T16:50:00,Quito,MED-QUI-08,4.59,1
165,2025-11-03T11:55:00,Quito,MED-QUI-01,6.95,1
166,2025-11-03T16:47:00,Quito,MED-QUI-04,5.66,1
167,2025-11-03T17:13:00,Quito,MED-QUI-09,6.44,1
168,2025-11-03T08:10:00,Quito,MED-QUI-08,7.11,1
169,2025-11-03T18:38:00,Quito,MED-QUI-05,6.12,1
170,2025-11-03T18:55:00,Quito,MED-QUI-11,6.57,1
171,2025-11-03T10:59:00,Quito,MED-QUI-04,13.78,1
172,2025-11-03T13:07:00,Quito,MED-QUI-03,4.42,1
173,2025-11-03T08:03:00,Quito,MED-QUI-05,5.9,1
174,2025-11-03T16:47:00,Quito,MED-QUI-08,8.02,1
175,2025-11-03T18:19:00,Quito,MED-QUI-05,3.48,1
176,2025-11-03T15:34:00,Quito,MED-QUI-07,5.89,1
177,2025-11-03T18:20:00,Quito,MED-QUI-01,6.52,1
178,2025-11-03T08:14:00,Quito,MED-QUI-01,9.27,1
179,2025-11-03T17:52:00,Quito,MED-QUI-01,5.82,1
180,2025-11-03T09:30:00,Quito,MED-QUI-10,4.89,1
181,2025-11-03T13:40:00,Guayaquil,MED-GUA-02,6.31,1
182,2025-11-03T14:22:00,Guayaquil,MED-GUA-03,5.39,1
183,2025-11-03T12:26:00,Guayaquil,MED-GUA-09,10.65,1
184,2025-11-03T07:29:00,Guayaquil,MED-GUA-05,5.34,1
185,2025-11-03T12:07:00,Guayaquil,MED-GUA-01,11.62,1
186,2025-11-03T17:55:00,Guayaquil,MED-GUA-06,5.01,1
187,2025-11-03T16:48:00,Guayaquil,MED-GUA-08,6.09,1
188,2025-11-03T07:13:00,Guayaquil,MED-GUA-12,6.41,1
189,2025-11-03T14:07:00,Guayaquil,MED-GUA-11,7.29,1
190,2025-11-03T16:51:00,Guayaquil,MED-GUA-09,6.56,1
191,2025-11-03T13:05:00,Guayaquil,MED-GUA-02,7.38,1
192,2025-11-03T14:07:00,Guayaquil,MED-GUA-05,5.98,1
193,2025-11-03T15:45:00,Guayaquil,MED-GUA-08,5.81,1
194,2025-11-03T14:15:00,Guayaquil,MED-GUA-10,5.69,1
195,2025-11-03T15:47:00,Guayaquil,MED-GUA-02,6.72,1
196,2025-11-03T11:49:00,Guayaquil,MED-GUA-09,8.88,1
197,2025-11-03T11:52:00,Guayaquil,MED-GUA-10,12.97,1
198,2025-11-03T17:31:00,Guayaquil,MED-GUA-06,7.58,1
199,2025-11-03T15:48:00,Guayaquil,MED-GUA-08,5.28,1
200,2025-11-03T12:55:00,Guayaquil,MED-GUA-04,14.24,1
201,2025-11-03T13:02:00,Guayaquil,MED-GUA-07,5.79,1
202,2025-11-03T13:42:00,Guayaquil,MED-GUA-11,8.04,1
203,2025-11-03T09:31:00,Guayaquil,MED-GUA-06,7.26,0
204,2025-11-03T08:55:00,Guayaquil,MED-GUA-02,6.33,1
205,2025-11-03T15:58:00,Guayaquil,MED-GUA-11,4.19,1
206,2025-11-03T09:04:00,Guayaquil,MED-GUA-05,7.14,1
207,2025-11-03T12:39:00,Guayaquil,MED-GUA-11,7.02,1
208,2025-11-03T15:24:00,Guayaquil,MED-GUA-08,8.52,1
209,2025-11-03T15:02:00,Guayaquil,MED-GUA-04,5.9,1
210,2025-11-03T17:43:00,Guayaquil,MED-GUA-07,11.05,1
211,2025-11-03T08:48:00,Guayaquil,MED-GUA-02,4.03,1
212,2025-11-03T14:10:00,Guayaquil,MED-GUA-01,5.38,1
213,2025-11-03T11:22:00,Guayaquil,MED-GUA-10,6.66,1
214,2025-11-03T17:50:00,Guayaquil,MED-GUA-03,7.1,1
215,2025-11-03T08:39:00,Guayaquil,MED-GUA-10,7.94,1
216,2025-11-03T09:14:00,Guayaquil,MED-GUA-05,4.99,1
217,2025-11-03T14:16:00,Guayaquil,MED-GUA-05,4.9,1
218,2025-11-03T17:34:00,Guayaquil,MED-GUA-08,3.72,1
219,2025-11-03T12:37:00,Guayaquil,MED-GUA-08,14.21,1
220,2025-11-03T11:12:00,Guayaquil,MED-GUA-07,13.42,1
221,2025-11-03T16:22:00,Guayaquil,MED-GUA-11,2.31,1
222,2025-11-03T13:17:00,Guayaquil,MED-GUA-11,4.37,1
223,2025-11-03T18:03:00,Guayaquil,MED-GUA-05,8.6,1
224,2025-11-03T10:38:00,Guayaquil,MED-GUA-05,9.63,1
225,2025-11-03T17:48:00,Guayaquil,MED-GUA-11,5.5,1
226,2025-11-03T17:53:00,Guayaquil,MED-GUA-01,6.94,1
227,2025-11-03T11:50:00,Guayaquil,MED-GUA-02,8.56,1
228,2025-11-03T11:20:00,Guayaquil,MED-GUA-09,11.2,1
229,2025-11-03T12:33:00,Guayaquil,MED-GUA-08,7.97,1
230,2025-11-03T11:47:00,Guayaquil,MED-GUA-02,12.97,1
231,2025-11-03T09:48:00,Guayaquil,MED-GUA-11,4.53,0
232,2025-11-03T18:43:00,Guayaquil,MED-GUA-06,10.39,1
233,2025-11-03T08:50:00,Guayaquil,MED-GUA-05,6.01,1
234,2025-11-03T15:07:00,Guayaquil,MED-GUA-10,4.35,1
235,2025-11-03T13:52:00,Guayaquil,MED-GUA-06,7.13,1
236,2025-11-03T08:43:00,Guayaquil,MED-GUA-09,6.53,1
237,2025-11-03T12:58:00,Guayaquil,MED-GUA-08,8.61,1
238,2025-11-03T18:19:00,Guayaquil,MED-GUA-02,5.12,1
239,2025-11-03T09:02:00,Guayaquil,MED-GUA-02,7.71,1
240,2025-11-03T10:56:00,Guayaquil,MED-GUA-12,8.15,1
241,2025-11-03T18:34:00,Guayaquil,MED-GUA-12,6.15,1
242,2025-11-03T18:09:00,Guayaquil,MED-GUA-10,8.15,1
243,2025-11-03T13:17:00,Guayaquil,MED-GUA-06,5.06,1
244,2025-11-03T10:28:00,Guayaquil,MED-GUA-11,9.96,1
245,2025-11-03T12:34:00,Guayaquil,MED-GUA-05,10.59,1
246,2025-11-03T10:07:00,Guayaquil,MED-GUA-04,11.98,1
247,2025-11-03T17:40:00,Guayaquil,MED-GUA-04,6.24,1
248,2025-11-03T09:50:00,Guayaquil,MED-GUA-02,6.32,1
249,2025-11-03T15:13:00,Guayaquil,MED-GUA-03,4.15,1
250,2025-11-03T16:00:00,Guayaquil,MED-GUA-03,5.08,1
251,2025-11-03T09:34:00,Guayaquil,MED-GUA-01,6.5,1
252,2025-11-03T09:00:00,Guayaquil,MED-GUA-04,7.43,1
253,2025-11-03T16:20:00,Guayaquil,MED-GUA-07,7.67,1
254,2025-11-03T15:07:00,Guayaquil,MED-GUA-08,6.62,1
255,2025-11-03T14:49:00,Guayaquil,MED-GUA-04,5.2,1
256,2025-11-03T16:02:00,Guayaquil,MED-GUA-11,8.03,1
257,2025-11-03T15:19:00,Guayaquil,MED-GUA-08,2.77,1
258,2025-11-03T13:27:00,Guayaquil,MED-GUA-08,7.51,1
259,2025-11-03T18:58:00,Guayaquil,MED-GUA-03,3.49,1
260,2025-11-03T08:08:00,Guayaquil,MED-GUA-11,7.62,1
261,2025-11-03T16:35:00,Guayaquil,MED-GUA-05,6.15,1
262,2025-11-03T14:32:00,Guayaquil,MED-GUA-02,5.07,1
263,2025-11-03T18:07:00,Guayaquil,MED-GUA-12,7.81,1
264,2025-11-03T10:27:00,Guayaquil,MED-GUA-08,7.39,1
265,2025-11-03T13:26:00,Guayaquil,MED-GUA-06,6.82,1
266,2025-11-03T13:20:00,Guayaquil,MED-GUA-08,5.76,1
267,2025-11-03T08:05:00,Guayaquil,MED-GUA-02,5.25,1
268,2025-11-03T13:06:00,Guayaquil,MED-GUA-01,6.45,1
269,2025-11-03T16:35:00,Guayaquil,MED-GUA-11,5.05,1
270,2025-11-03T08:26:00,Guayaquil,MED-GUA-12,5.16,1
271,2025-11-03T07:18:00,Guayaquil,MED-GUA-06,8.27,1
272,2025-11-03T08:36:00,Guayaquil,MED-GUA-02,5.63,1
273,2025-11-03T12:54:00,Guayaquil,MED-GUA-04,9.53,1
274,2025-11-03T13:54:00,Guayaquil,MED-GUA-10,6.24,1
275,2025-11-03T16:43:00,Guayaquil,MED-GUA-12,6.28,1
276,2025-11-03T11:01:00,Guayaquil,MED-GUA-06,11.55,1
277,2025-11-03T12:00:00,Guayaquil,MED-GUA-02,13.08,1
278,2025-11-03T09:47:00,Guayaquil,MED-GUA-01,7.26,1
279,2025-11-03T08:47:00,Guayaquil,MED-GUA-03,5.07,1
280,2025-11-03T12:19:00,Guayaquil,MED-GUA-02,9.61,1
281,2025-11-03T07:09:00,Guayaquil,MED-GUA-10,3.94,1
282,2025-11-03T07:43:00,Guayaquil,MED-GUA-10,7.91,1
283,2025-11-03T14:26:00,Guayaquil,MED-GUA-09,7.3,1
284,2025-11-03T08:22:00,Guayaquil,MED-GUA-08,5.39,1
285,2025-11-03T15:42:00,Guayaquil,MED-GUA-04,7.02,1
286,2025-11-03T13:38:00,Guayaquil,MED-GUA-03,7.45,1
287,2025-11-03T11:18:00,Guayaquil,MED-GUA-03,10.72,1
288,2025-11-03T09:24:00,Guayaquil,MED-GUA-04,6.66,1
289,2025-11-03T15:35:00,Guayaquil,MED-GUA-12,7.86,1
290,2025-11-03T07:27:00,Guayaquil,MED-GUA-02,4.15,1
291,2025-11-03T12:36:00,Guayaquil,MED-GUA-05,10.0,1
292,2025-11-03T08:25:00,Guayaquil,MED-GUA-10,7.82,1
293,2025-11-03T14:53:00,Guayaquil,MED-GUA-06,6.67,1
294,2025-11-03T08:27:00,Guayaquil,MED-GUA-09,7.13,1
295,2025-11-03T08:25:00,Guayaquil,MED-GUA-12,5.57,1
296,2025-11-03T12:14:00,Guayaquil,MED-GUA-02,11.1,1
297,2025-11-03T15:32:00,Guayaquil,MED-GUA-11,7.4,1
298,2025-11-03T09:15:00,Guayaquil,MED-GUA-05,8.94,1
299,2025-11-03T10:11:00,Guayaquil,MED-GUA-03,6.44,1
300,2025-11-03T17:31:00,Guayaquil,MED-GUA-11,4.62,1
301,2025-11-03T16:41:00,Guayaquil,MED-GUA-10,6.93,1
302,2025-11-03T12:55:00,Guayaquil,MED-GUA-08,11.47,1
303,2025-11-03T14:40:00,Guayaquil,MED-GUA-09,6.11,1
304,2025-11-03T08:19:00,Guayaquil,MED-GUA-01,7.64,1
305,2025-11-03T07:23:00,Guayaquil,MED-GUA-02,6.79,1
306,2025-11-03T16:38:00,Guayaquil,MED-GUA-08,5.98,1
307,2025-11-03T16:35:00,Guayaquil,MED-GUA-10,8.86,1
308,2025-11-03T17:12:00,Guayaquil,MED-GUA-08,5.8,1
309,2025-11-03T15:09:00,Guayaquil,MED-GUA-06,8.08,1
310,2025-11-03T18:05:00,Guayaquil,MED-GUA-03,6.07,1
311,2025-11-03T07:15:00,Guayaquil,MED-GUA-10,5.29,1
312,2025-11-03T09:23:00,Guayaquil,MED-GUA-05,2.06,1
313,2025-11-03T13:26:00,Guayaquil,MED-GUA-11,6.85,1
314,2025-11-03T17:21:00,Guayaquil,MED-GUA-02,4.27,1
315,2025-11-03T15:43:00,Guayaquil,MED-GUA-10,5.64,1
316,2025-11-03T09:21:00,Guayaquil,MED-GUA-11,7.25,1
317,2025-11-03T09:58:00,Guayaquil,MED-GUA-07,4.19,1
318,2025-11-03T09:38:00,Guayaquil,MED-GUA-02,9.68,1
319,2025-11-03T11:35:00,Guayaquil,MED-GUA-11,11.08,1
320,2025-11-03T18:53:00,Guayaquil,MED-GUA-02,11.36,1
321,2025-11-03T17:42:00,Guayaquil,MED-GUA-06,4.82,1
322,2025-11-03T07:23:00,Guayaquil,MED-GUA-08,5.17,1
323,2025-11-03T10:14:00,Guayaquil,MED-GUA-02,15.1,1
324,2025-11-03T15:49:00,Guayaquil,MED-GUA-12,6.5,1
325,2025-11-03T15:02:00,Guayaquil,MED-GUA-10,4.89,1
326,2025-11-03T13:09:00,Guayaquil,MED-GUA-12,3.89,1
327,2025-11-03T16:51:00,Guayaquil,MED-GUA-06,8.46,1
328,2025-11-03T17:46:00,Guayaquil,MED-GUA-08,5.12,1
329,2025-11-03T16:18:00,Guayaquil,MED-GUA-04,6.54,1
330,2025-11-03T11:51:00,Guayaquil,MED-GUA-11,8.8,1
331,2025-11-03T16:28:00,Guayaquil,MED-GUA-05,3.33,1
332,2025-11-03T13:32:00,Guayaquil,MED-GUA-10,2.65,1
333,2025-11-03T09:55:00,Guayaquil,MED-GUA-11,5.83,1
334,2025-11-03T14:55:00,Guayaquil,MED-GUA-09,4.08,1
335,2025-11-03T08:18:00,Guayaquil,MED-GUA-03,9.03,1
336,2025-11-03T11:28:00,Guayaquil,MED-GUA-04,10.57,1
337,2025-11-03T14:56:00,Guayaquil,MED-GUA-09,6.3,1
338,2025-11-03T12:15:00,Guayaquil,MED-GUA-06,10.16,1
339,2025-11-03T08:53:00,Guayaquil,MED-GUA-06,6.91,1
340,2025-11-03T09:08:00,Guayaquil,MED-GUA-03,9.75,1
341,2025-11-03T18:30:00,Guayaquil,MED-GUA-01,7.3,1
342,2025-11-03T08:01:00,Guayaquil,MED-GUA-12,6.39,1
343,2025-11-03T16:33:00,Guayaquil,MED-GUA-05,9.35,1
344,2025-11-03T10:19:00,Guayaquil,MED-GUA-10,12.32,1
345,2025-11-03T14:04:00,Guayaquil,MED-GUA-01,9.0,1
346,2025-11-03T17:32:00,Guayaquil,MED-GUA-12,8.59,1
347,2025-11-03T09:18:00,Guayaquil,MED-GUA-07,4.63,1
348,2025-11-03T09:42:00,Guayaquil,MED-GUA-09,7.39,1
349,2025-11-03T12:04:00,Guayaquil,MED-GUA-09,11.58,1
350,2025-11-03T15:01:00,Guayaquil,MED-GUA-06,5.19,1
351,2025-11-03T11:47:00,Guayaquil,MED-GUA-12,15.08,1
352,2025-11-03T17:40:00,Guayaquil,MED-GUA-10,6.77,1
353,2025-11-03T18:48:00,Guayaquil,MED-GUA-11,6.28,1
354,2025-11-03T09:53:00,Guayaquil,MED-GUA-08,6.89,1
355,2025-11-03T18:30:00,Guayaquil,MED-GUA-08,4.65,1
356,2025-11-03T07:18:00,Guayaquil,MED-GUA-04,4.48,1
357,2025-11-03T07:20:00,Guayaquil,MED-GUA-09,8.15,0
358,2025-11-03T14:16:00,Guayaquil,MED-GUA-11,5.77,1
359,2025-11-03T10:18:00,Guayaquil,MED-GUA-06,11.6,1
360,2025-11-03T11:07:00,Guayaquil,MED-GUA-08,8.95,1
361,2025-11-03T13:21:00,Cuenca,MED-CUE-09,8.23,1
362,2025-11-03T11:51:00,Cuenca,MED-CUE-03,12.04,1
363,2025-11-03T15:18:00,Cuenca,MED-CUE-02,7.28,1
364,2025-11-03T12:42:00,Cuenca,MED-CUE-03,12.12,1
365,2025-11-03T18:28:00,Cuenca,MED-CUE-06,6.24,1
366,2025-11-03T16:27:00,Cuenca,MED-CUE-01,6.85,1
367,2025-11-03T08:42:00,Cuenca,MED-CUE-11,5.57,1
368,2025-11-03T09:01:00,Cuenca,MED-CUE-10,5.42,1
369,2025-11-03T17:50:00,Cuenca,MED-CUE-11,5.78,1
370,2025-11-03T12:23:00,Cuenca,MED-CUE-11,8.88,1
371,2025-11-03T14:23:00,Cuenca,MED-CUE-02,7.8,1
372,2025-11-03T16:08:00,Cuenca,MED-CUE-04,5.01,1
373,2025-11-03T08:01:00,Cuenca,MED-CUE-08,6.22,1
374,2025-11-03T15:24:00,Cuenca,MED-CUE-12,7.14,1
375,2025-11-03T14:13:00,Cuenca,MED-CUE-05,6.11,0
376,2025-11-03T18:58:00,Cuenca,MED-CUE-02,7.5,1
377,2025-11-03T14:11:00,Cuenca,MED-CUE-08,6.49,1
378,2025-11-03T08:51:00,Cuenca,MED-CUE-06,5.3,1
379,2025-11-03T18:04:00,Cuenca,MED-CUE-05,3.86,1
380,2025-11-03T11:54:00,Cuenca,MED-CUE-03,14.42,1
381,2025-11-03T12:32:00,Cuenca,MED-CUE-04,16.93,1
382,2025-11-03T14:01:00,Cuenca,MED-CUE-09,5.25,1
383,2025-11-03T09:39:00,Cuenca,MED-CUE-02,8.0,1
384,2025-11-03T11:25:00,Cuenca,MED-CUE-07,12.88,1
385,2025-11-03T16:04:00,Cuenca,MED-CUE-08,7.42,1
386,2025-11-03T17:33:00,Cuenca,MED-CUE-09,7.43,1
387,2025-11-03T17:37:00,Cuenca,MED-CUE-01,8.12,1
388,2025-11-03T08:33:00,Cuenca,MED-CUE-03,10.05,1
389,2025-11-03T09:20:00,Cuenca,MED-CUE-09,7.48,1
390,2025-11-03T11:54:00,Cuenca,MED-CUE-05,11.24,1
391,2025-11-03T09:40:00,Cuenca,MED-CUE-09,6.97,1
392,2025-11-03T08:32:00,Cuenca,MED-CUE-03,5.23,1
